date,close,open,high,low,volume
2020-08-17T00:00:00-04:00,12.34,11.85,12.41,11.82,621300920.0
2020-08-18T00:00:00-04:00,12.26,12.45,12.5,12.09,503448000.0
2020-08-19T00:00:00-04:00,12.14,12.3,12.32,12.1,622624000.0
2020-08-20T00:00:00-04:00,12.14,11.98,12.38,11.88,921388000.0
2020-08-21T00:00:00-04:00,12.68,12.2,12.81,12.2,999869520.0
2020-08-24T00:00:00-04:00,12.72,12.88,12.91,12.51,490564200.0
2020-08-25T00:00:00-04:00,12.75,12.63,12.76,12.57,289076800.0
2020-08-26T00:00:00-04:00,12.77,12.8,12.87,12.68,321244000.0
2020-08-27T00:00:00-04:00,12.63,12.78,12.85,12.57,317604000.0
2020-08-28T00:00:00-04:00,13.15,12.67,13.15,12.64,537160000.0
2020-08-31T00:00:00-04:00,13.37,13.18,13.58,13.04,500841200.0
2020-09-01T00:00:00-04:00,13.82,13.48,13.99,13.44,512473960.0
2020-09-02T00:00:00-04:00,14.35,14.7,14.73,13.9,874012880.0
2020-09-03T00:00:00-04:00,13.02,13.83,13.88,12.88,945128000.0
2020-09-04T00:00:00-04:00,12.62,12.78,13.18,11.7,1463684000.0
2020-09-08T00:00:00-04:00,11.91,11.73,12.55,11.7,795729480.0
2020-09-09T00:00:00-04:00,12.72,12.4,12.81,12.23,736200000.0
2020-09-10T00:00:00-04:00,12.31,12.99,13.07,12.17,698684440.0
2020-09-11T00:00:00-04:00,12.16,12.49,12.65,11.9,636928000.0
2020-09-14T00:00:00-04:00,12.87,13.08,13.32,12.63,1201744960.0
2020-09-15T00:00:00-04:00,12.99,13.28,13.3,12.83,727556560.0
2020-09-16T00:00:00-04:00,12.51,12.96,13.09,12.51,557599400.0
2020-09-17T00:00:00-04:00,12.46,12.13,12.59,12.03,792512000.0
2020-09-18T00:00:00-04:00,12.19,12.59,12.63,11.99,698461920.0
2020-09-21T00:00:00-04:00,12.52,11.93,12.52,11.9,721044000.0
2020-09-22T00:00:00-04:00,12.64,12.58,12.65,12.16,646452080.0
2020-09-23T00:00:00-04:00,12.12,12.58,12.73,12.08,647012320.0
2020-09-24T00:00:00-04:00,12.35,12.07,12.57,12.01,731240320.0
2020-09-25T00:00:00-04:00,12.87,12.45,12.88,12.25,588016280.0
2020-09-28T00:00:00-04:00,13.04,13.04,13.05,12.75,573809120.0
2020-09-29T00:00:00-04:00,13.23,12.94,13.44,12.93,623004960.0
2020-09-30T00:00:00-04:00,13.53,13.16,13.62,13.15,689184120.0
2020-10-01T00:00:00-04:00,13.61,13.76,13.76,13.46,525004000.0
2020-10-02T00:00:00-04:00,13.06,13.23,13.52,13.05,552496000.0
2020-10-05T00:00:00-04:00,13.64,13.24,13.64,13.22,479820000.0
2020-10-06T00:00:00-04:00,13.74,13.83,14.14,13.67,784420000.0
2020-10-07T00:00:00-04:00,13.96,14.0,14.12,13.86,418085160.0
2020-10-08T00:00:00-04:00,13.84,14.08,14.08,13.76,378900880.0
2020-10-09T00:00:00-04:00,13.76,13.77,13.82,13.66,346892000.0
2020-10-12T00:00:00-04:00,14.23,13.99,14.35,13.91,434744000.0
2020-10-13T00:00:00-04:00,14.25,14.3,14.35,14.02,344604000.0
2020-10-14T00:00:00-04:00,14.1,14.29,14.34,13.96,276647120.0
