date,close,open,high,low,volume
2020-08-17T00:00:00-04:00,32.94,32.47,33.09,32.42,63332400.0
2020-08-18T00:00:00-04:00,33.9,33.36,34.1,32.82,74656800.0
2020-08-19T00:00:00-04:00,33.24,33.9,34.3,33.07,102923600.0
2020-08-20T00:00:00-04:00,34.61,32.94,34.8,32.79,76387368.0
2020-08-21T00:00:00-04:00,35.33,34.67,35.5,34.45,82140116.0
2020-08-24T00:00:00-04:00,35.99,36.55,36.89,35.11,125692000.0
2020-08-25T00:00:00-04:00,36.83,35.71,36.86,35.52,86278520.0
2020-08-26T00:00:00-04:00,39.18,37.32,39.26,37.27,109831664.0
2020-08-27T00:00:00-04:00,38.83,39.65,39.97,37.9,151301200.0
2020-08-28T00:00:00-04:00,39.43,39.32,39.68,38.79,99072800.0
2020-08-31T00:00:00-04:00,40.34,39.64,41.14,39.46,90199200.0
2020-09-01T00:00:00-04:00,42.44,41.48,42.49,40.74,96920096.0
2020-09-02T00:00:00-04:00,43.63,43.87,43.92,41.17,144684876.0
2020-09-03T00:00:00-04:00,36.93,41.68,41.85,35.71,221512460.0
2020-09-04T00:00:00-04:00,35.41,36.35,37.58,30.97,280740428.0
2020-09-08T00:00:00-04:00,30.41,31.24,33.49,30.27,213412400.0
2020-09-09T00:00:00-04:00,33.02,32.26,33.8,31.42,145176152.0
2020-09-10T00:00:00-04:00,31.11,34.13,34.6,30.44,232968400.0
2020-09-11T00:00:00-04:00,30.43,31.75,32.05,29.2,192898928.0
2020-09-14T00:00:00-04:00,32.0,31.75,32.7,31.27,134516592.0
2020-09-15T00:00:00-04:00,33.35,33.33,33.86,32.74,150444800.0
2020-09-16T00:00:00-04:00,31.75,33.63,33.83,31.65,153586644.0
2020-09-17T00:00:00-04:00,30.29,29.3,30.99,29.01,223422544.0
2020-09-18T00:00:00-04:00,29.12,30.72,30.86,27.69,231521312.0
2020-09-21T00:00:00-04:00,29.47,27.81,29.49,27.03,187657388.0
2020-09-22T00:00:00-04:00,31.08,30.3,31.28,29.12,157533340.0
2020-09-23T00:00:00-04:00,28.2,30.96,31.04,27.93,202753720.0
2020-09-24T00:00:00-04:00,28.61,27.42,29.68,27.29,187518164.0
2020-09-25T00:00:00-04:00,30.62,28.77,30.89,28.26,162239392.0
2020-09-28T00:00:00-04:00,32.43,32.32,32.5,31.39,136665604.0
2020-09-29T00:00:00-04:00,32.09,32.37,32.71,31.88,111388696.0
2020-09-30T00:00:00-04:00,32.73,32.15,33.88,32.06,169384168.0
2020-10-01T00:00:00-04:00,34.26,34.14,34.52,33.45,139338000.0
2020-10-02T00:00:00-04:00,31.43,32.03,33.41,31.08,199776800.0
2020-10-05T00:00:00-04:00,33.42,32.12,33.53,32.06,105395348.0
2020-10-06T00:00:00-04:00,31.62,33.1,33.78,31.29,172824556.0
2020-10-07T00:00:00-04:00,33.28,32.54,33.53,32.35,112544488.0
2020-10-08T00:00:00-04:00,33.77,34.11,34.15,33.39,98946848.0
2020-10-09T00:00:00-04:00,35.28,34.39,35.35,34.24,97635776.0
2020-10-12T00:00:00-04:00,38.57,37.1,39.68,36.72,147058580.0
2020-10-13T00:00:00-04:00,38.57,39.3,39.58,38.04,141930800.0
2020-10-14T00:00:00-04:00,37.62,38.92,39.3,36.91,148985496.0
2020-10-15T00:00:00-04:00,36.84,35.76,37.1,35.49,124538400.0
2020-10-16T00:00:00-04:00,36.28,37.52,38.07,36.13,114048552.0
2020-10-19T00:00:00-04:00,34.47,37.01,37.38,34.09,138777600.0
2020-10-20T00:00:00-04:00,34.7,34.74,35.85,34.15,137355200.0
2020-10-21T00:00:00-04:00,34.6,34.77,35.75,34.43,121286400.0
2020-10-22T00:00:00-04:00,34.62,34.92,35.25,33.37,119581604.0
2020-10-23T00:00:00-04:00,34.83,34.85,34.86,33.72,95544000.0
2020-10-26T00:00:00-04:00,33.24,33.94,34.99,31.87,158556800.0
2020-10-27T00:00:00-04:00,34.02,33.57,34.3,33.13,111930012.0
2020-10-28T00:00:00-04:00,30.03,32.35,32.56,29.95,184720160.0
2020-10-29T00:00:00-04:00,31.56,30.49,32.62,30.31,138187360.0
2020-10-30T00:00:00-04:00,29.36,30.89,31.18,28.39,231165752.0
2020-11-02T00:00:00-05:00,29.37,29.95,30.52,28.4,151136000.0
2020-11-03T00:00:00-05:00,30.85,30.0,31.6,29.65,134969316.0
2020-11-04T00:00:00-05:00,35.02,33.9,35.66,33.33,169187716.0
2020-11-05T00:00:00-05:00,37.72,37.42,38.14,36.9,150132564.0
2020-11-06T00:00:00-05:00,37.85,37.47,38.14,36.02,135151288.0
2020-11-09T00:00:00-05:00,35.54,38.92,39.6,35.37,165865600.0
2020-11-10T00:00:00-05:00,33.62,34.28,34.81,32.59,168666800.0
2020-11-11T00:00:00-05:00,35.88,34.52,36.05,34.37,126830800.0
2020-11-12T00:00:00-05:00,35.36,36.21,36.73,34.93,143857100.0
2020-11-13T00:00:00-05:00,36.28,35.95,36.52,35.17,104897252.0
2020-11-16T00:00:00-05:00,37.12,36.19,37.25,35.94,106874512.0
2020-11-17T00:00:00-05:00,36.78,37.2,37.34,36.53,91352000.0
2020-11-18T00:00:00-05:00,35.92,36.57,37.19,35.92,77170800.0
2020-11-19T00:00:00-05:00,36.82,35.73,36.92,35.49,79670896.0
2020-11-20T00:00:00-05:00,36.07,36.76,37.07,36.03,64996800.0
2020-11-23T00:00:00-05:00,36.08,36.46,36.94,35.19,89530404.0
2020-11-24T00:00:00-05:00,37.55,36.46,37.76,35.77,78007600.0
2020-11-25T00:00:00-05:00,38.26,37.93,38.5,37.61,64338820.0
2020-11-27T00:00:00-05:00,39.3,39.01,39.77,38.88,46463756.0
2020-11-30T00:00:00-05:00,39.51,39.43,39.7,37.65,92311200.0
2020-12-01T00:00:00-05:00,41.06,40.45,41.74,40.03,85397808.0
2020-12-02T00:00:00-05:00,41.22,40.55,41.36,39.8,73064800.0
2020-12-03T00:00:00-05:00,41.39,41.32,42.05,41.09,78730828.0
2020-12-04T00:00:00-05:00,41.9,41.4,41.96,41.13,63544028.0
2020-12-07T00:00:00-05:00,42.61,41.98,42.76,41.9,62014000.0
2020-12-08T00:00:00-05:00,43.0,42.41,43.17,41.65,66962880.0
2020-12-09T00:00:00-05:00,40.12,42.96,43.07,39.66,122439364.0
2020-12-10T00:00:00-05:00,40.61,39.26,41.07,38.82,86673288.0
2020-12-11T00:00:00-05:00,40.33,39.91,40.38,38.98,84909784.0
2020-12-14T00:00:00-05:00,41.19,40.81,42.01,40.79,73342400.0
2020-12-15T00:00:00-05:00,42.47,42.15,42.5,41.23,78991384.0
2020-12-16T00:00:00-05:00,43.18,42.69,43.56,42.25,68795232.0
2020-12-17T00:00:00-05:00,44.06,43.91,44.17,43.4,69637708.0
2020-12-18T00:00:00-05:00,43.58,44.39,44.48,42.63,84378056.0
2020-12-21T00:00:00-05:00,43.42,42.39,43.66,41.17,101798400.0
2020-12-22T00:00:00-05:00,43.76,43.83,44.18,42.54,81004416.0
