date,close,open,high,low,volume
2010-06-29T00:00:00-04:00,1.59,1.27,1.67,1.17,281494500.0
2010-06-30T00:00:00-04:00,1.59,1.72,2.03,1.55,257806500.0
2010-07-01T00:00:00-04:00,1.46,1.67,1.73,1.35,123282000.0
2010-07-02T00:00:00-04:00,1.28,1.53,1.54,1.25,77097000.0
2010-07-06T00:00:00-04:00,1.07,1.33,1.33,1.06,103003500.0
2010-07-07T00:00:00-04:00,1.05,1.09,1.11,0.99867,103825500.0
2010-07-08T00:00:00-04:00,1.16,1.08,1.17,1.04,115671000.0
2010-07-09T00:00:00-04:00,1.16,1.17,1.19,1.1,60759000.0
2010-07-12T00:00:00-04:00,1.14,1.2,1.2,1.13,33037500.0
2010-07-13T00:00:00-04:00,1.21,1.16,1.24,1.13,40201500.0
2010-07-14T00:00:00-04:00,1.32,1.2,1.34,1.18,62928000.0
2010-07-15T00:00:00-04:00,1.33,1.33,1.43,1.27,56097000.0
2010-07-16T00:00:00-04:00,1.38,1.38,1.42,1.34,39319500.0
2010-07-19T00:00:00-04:00,1.46,1.42,1.48,1.39,37297500.0
2010-07-20T00:00:00-04:00,1.35,1.46,1.46,1.34,27379500.0
2010-07-21T00:00:00-04:00,1.35,1.38,1.39,1.3,18787500.0
2010-07-22T00:00:00-04:00,1.4,1.37,1.42,1.36,14367000.0
2010-07-23T00:00:00-04:00,1.42,1.41,1.44,1.4,9804000.0
2010-07-26T00:00:00-04:00,1.4,1.43,1.43,1.35,13833000.0
2010-07-27T00:00:00-04:00,1.37,1.39,1.41,1.35,9295500.0
2010-07-28T00:00:00-04:00,1.38,1.37,1.39,1.37,7008000.0
2010-07-29T00:00:00-04:00,1.36,1.38,1.39,1.33,9240000.0
2010-07-30T00:00:00-04:00,1.33,1.35,1.36,1.3,6403500.0
2010-08-02T00:00:00-04:00,1.39,1.37,1.4,1.36,10771500.0
2010-08-03T00:00:00-04:00,1.46,1.4,1.46,1.39,18457500.0
2010-08-04T00:00:00-04:00,1.42,1.46,1.48,1.39,13695000.0
2010-08-05T00:00:00-04:00,1.36,1.44,1.44,1.34,11943000.0
2010-08-06T00:00:00-04:00,1.31,1.34,1.34,1.3,11128500.0
2010-08-09T00:00:00-04:00,1.31,1.33,1.33,1.3,12190500.0
2010-08-10T00:00:00-04:00,1.27,1.31,1.31,1.25,19219500.0
2010-08-11T00:00:00-04:00,1.19,1.25,1.26,1.19,11964000.0
2010-08-12T00:00:00-04:00,1.17,1.19,1.19,1.16,10365000.0
2010-08-13T00:00:00-04:00,1.22,1.21,1.23,1.18,9510000.0
2010-08-16T00:00:00-04:00,1.25,1.23,1.25,1.22,7287000.0
2010-08-17T00:00:00-04:00,1.28,1.26,1.29,1.25,6718500.0
2010-08-18T00:00:00-04:00,1.25,1.31,1.31,1.24,9019500.0
2010-08-19T00:00:00-04:00,1.25,1.24,1.28,1.22,8686500.0
2010-08-20T00:00:00-04:00,1.27,1.24,1.27,1.23,4440000.0
2010-08-23T00:00:00-04:00,1.34,1.27,1.36,1.27,16321500.0
2010-08-24T00:00:00-04:00,1.28,1.28,1.31,1.26,10096500.0
2010-08-25T00:00:00-04:00,1.33,1.28,1.33,1.24,7549500.0
2010-08-26T00:00:00-04:00,1.32,1.33,1.35,1.31,6507000.0
2010-08-27T00:00:00-04:00,1.31,1.32,1.32,1.3,5694000.0
2010-08-30T00:00:00-04:00,1.32,1.31,1.35,1.31,10992000.0
2010-08-31T00:00:00-04:00,1.3,1.31,1.32,1.29,3016500.0
2010-09-01T00:00:00-04:00,1.36,1.31,1.38,1.31,7423500.0
2010-09-02T00:00:00-04:00,1.4,1.36,1.42,1.35,7306500.0
2010-09-03T00:00:00-04:00,1.4,1.39,1.42,1.38,6519000.0
2010-09-07T00:00:00-04:00,1.37,1.37,1.4,1.37,3651000.0
2010-09-08T00:00:00-04:00,1.39,1.38,1.4,1.37,4326000.0
2010-09-09T00:00:00-04:00,1.38,1.4,1.4,1.38,5643000.0
2010-09-10T00:00:00-04:00,1.34,1.38,1.4,1.32,5799000.0
2010-09-13T00:00:00-04:00,1.38,1.39,1.39,1.37,5412000.0
2010-09-14T00:00:00-04:00,1.41,1.37,1.44,1.37,9820500.0
2010-09-15T00:00:00-04:00,1.47,1.4,1.47,1.39,10269000.0
2010-09-16T00:00:00-04:00,1.4,1.48,1.54,1.39,40267500.0
2010-09-17T00:00:00-04:00,1.35,1.4,1.42,1.32,17977500.0
2010-09-20T00:00:00-04:00,1.4,1.38,1.42,1.34,14212500.0
2010-09-21T00:00:00-04:00,1.38,1.39,1.44,1.38,11940000.0
2010-09-22T00:00:00-04:00,1.32,1.39,1.4,1.32,14443500.0
2010-09-23T00:00:00-04:00,1.3,1.33,1.34,1.3,10021500.0
2010-09-24T00:00:00-04:00,1.34,1.33,1.35,1.31,8683500.0
2010-09-27T00:00:00-04:00,1.37,1.36,1.39,1.34,6279000.0
2010-09-28T00:00:00-04:00,1.43,1.4,1.43,1.38,18217500.0
2010-09-29T00:00:00-04:00,1.47,1.41,1.47,1.41,29539500.0
2010-09-30T00:00:00-04:00,1.36,1.47,1.48,1.35,32937000.0
2010-10-01T00:00:00-04:00,1.37,1.38,1.38,1.35,8965500.0
2010-10-04T00:00:00-04:00,1.4,1.36,1.41,1.35,9654000.0
2010-10-05T00:00:00-04:00,1.41,1.41,1.42,1.4,4980000.0
2010-10-06T00:00:00-04:00,1.36,1.4,1.42,1.35,4701000.0
2010-10-07T00:00:00-04:00,1.36,1.37,1.38,1.36,2115000.0
2010-10-08T00:00:00-04:00,1.36,1.36,1.39,1.36,4017000.0
2010-10-11T00:00:00-04:00,1.35,1.36,1.38,1.34,2568000.0
2010-10-12T00:00:00-04:00,1.35,1.35,1.35,1.34,3660000.0
2010-10-13T00:00:00-04:00,1.37,1.38,1.39,1.36,4773000.0
2010-10-14T00:00:00-04:00,1.38,1.4,1.4,1.36,4422000.0
2010-10-15T00:00:00-04:00,1.37,1.39,1.39,1.35,4270500.0
2010-10-18T00:00:00-04:00,1.35,1.37,1.38,1.35,2442000.0
2010-10-19T00:00:00-04:00,1.34,1.35,1.36,1.33,3678000.0
2010-10-20T00:00:00-04:00,1.38,1.34,1.38,1.34,4687500.0
