date,close,open,high,low,volume
2020-08-17T00:00:00-04:00,75.81,75.8,76.19,75.25,19998680.0
2020-08-18T00:00:00-04:00,77.79,76.31,77.87,76.08,28378000.0
2020-08-19T00:00:00-04:00,77.23,77.62,78.44,77.0,30472000.0
2020-08-20T00:00:00-04:00,78.81,77.0,79.01,76.72,26382620.0
2020-08-21T00:00:00-04:00,78.78,78.59,79.59,78.12,34845500.0
2020-08-24T00:00:00-04:00,79.26,79.62,80.44,78.75,25638000.0
2020-08-25T00:00:00-04:00,80.29,79.01,80.44,78.89,25150000.0
2020-08-26T00:00:00-04:00,82.21,80.32,82.64,80.05,52188000.0
2020-08-27T00:00:00-04:00,81.43,82.33,82.4,80.94,31350060.0
2020-08-28T00:00:00-04:00,81.97,81.47,82.07,81.28,22423900.0
2020-08-31T00:00:00-04:00,81.48,82.18,82.23,81.27,26422000.0
2020-09-01T00:00:00-04:00,82.75,81.61,82.96,81.48,22675320.0
2020-09-02T00:00:00-04:00,85.87,83.4,86.31,83.01,49522000.0
2020-09-03T00:00:00-04:00,81.48,84.98,85.0,80.39,63726000.0
2020-09-04T00:00:00-04:00,79.06,80.45,81.75,76.9,55850660.0
2020-09-08T00:00:00-04:00,76.18,76.25,77.78,75.83,54032000.0
2020-09-09T00:00:00-04:00,77.36,77.44,77.94,76.26,39242000.0
2020-09-10T00:00:00-04:00,76.3,77.51,78.68,76.0,33024000.0
2020-09-11T00:00:00-04:00,75.79,76.41,76.93,74.65,30706740.0
2020-09-14T00:00:00-04:00,75.44,76.58,77.85,75.26,42660140.0
2020-09-15T00:00:00-04:00,76.76,76.39,77.55,76.11,23042000.0
2020-09-16T00:00:00-04:00,75.6,77.12,77.72,75.58,22143380.0
2020-09-17T00:00:00-04:00,74.35,74.29,74.93,73.12,40008000.0
2020-09-18T00:00:00-04:00,72.55,74.42,74.76,71.58,63056000.0
2020-09-21T00:00:00-04:00,71.51,71.58,72.0,70.13,56908099.0
