date,close,open,high,low,volume
2020-08-18T00:00:00-04:00,46.27,45.77,46.45,45.28,2124000.0
2020-08-19T00:00:00-04:00,45.67,46.28,46.63,45.51,3121842.0
2020-08-20T00:00:00-04:00,46.93,45.39,47.09,45.27,2139856.0
2020-08-21T00:00:00-04:00,47.56,47.03,47.73,46.77,2402600.0
2020-08-24T00:00:00-04:00,48.17,48.68,48.96,47.38,2574272.0
2020-08-25T00:00:00-04:00,48.92,47.89,48.95,47.75,2477296.0
2020-08-26T00:00:00-04:00,51.0,49.34,51.06,49.31,3168874.0
2020-08-27T00:00:00-04:00,50.66,51.38,51.67,49.88,4669864.0
2020-08-28T00:00:00-04:00,51.19,51.11,51.42,50.65,2885796.0
2020-08-31T00:00:00-04:00,52.08,51.41,52.68,51.24,3390600.0
2020-09-01T00:00:00-04:00,53.8,53.0,53.85,52.36,3713924.0
2020-09-02T00:00:00-04:00,54.81,54.99,55.02,52.72,5335600.0
2020-09-03T00:00:00-04:00,49.19,53.18,53.3,48.17,10667216.0
2020-09-04T00:00:00-04:00,47.88,48.69,49.75,43.91,11185600.0
2020-09-08T00:00:00-04:00,43.32,44.13,46.1,43.22,7298400.0
2020-09-09T00:00:00-04:00,45.84,45.1,46.56,44.31,7893848.0
2020-09-10T00:00:00-04:00,43.96,46.88,47.28,43.43,7611446.0
2020-09-11T00:00:00-04:00,43.41,44.69,44.94,42.27,7660814.0
2020-09-14T00:00:00-04:00,44.92,44.66,45.58,44.24,5110210.0
2020-09-15T00:00:00-04:00,46.2,46.15,46.67,45.62,4727600.0
2020-09-16T00:00:00-04:00,44.67,46.43,46.62,44.62,5588998.0
2020-09-17T00:00:00-04:00,43.34,42.4,43.98,42.14,6285800.0
2020-09-18T00:00:00-04:00,42.2,43.73,43.85,40.85,8365644.0
2020-09-21T00:00:00-04:00,42.56,40.96,42.56,40.19,7596400.0
2020-09-22T00:00:00-04:00,44.09,43.34,44.29,42.22,4918600.0
2020-09-23T00:00:00-04:00,41.38,44.01,44.05,41.12,5876898.0
2020-09-24T00:00:00-04:00,41.79,40.59,42.83,40.49,7470238.0
2020-09-25T00:00:00-04:00,43.77,41.95,43.99,41.46,4983400.0
2020-09-28T00:00:00-04:00,45.53,45.35,45.56,44.47,3840224.0
2020-09-29T00:00:00-04:00,45.12,45.41,45.72,44.95,4000070.0
2020-09-30T00:00:00-04:00,45.83,45.17,46.81,45.12,5541600.0
2020-10-01T00:00:00-04:00,47.22,47.06,47.46,46.43,5386230.0
2020-10-02T00:00:00-04:00,44.56,45.13,46.38,44.26,7540276.0
2020-10-05T00:00:00-04:00,46.49,45.2,46.54,45.18,4291082.0
2020-10-06T00:00:00-04:00,44.76,46.17,46.78,44.46,5523000.0
2020-10-07T00:00:00-04:00,46.4,45.66,46.59,45.49,2693228.0
2020-10-08T00:00:00-04:00,46.82,47.13,47.16,46.46,3125000.0
2020-10-09T00:00:00-04:00,48.24,47.35,48.26,47.25,4102200.0
2020-10-12T00:00:00-04:00,51.21,49.87,52.2,49.5,5947600.0
2020-10-13T00:00:00-04:00,51.17,51.86,52.09,50.73,5227600.0
2020-10-14T00:00:00-04:00,50.36,51.52,51.84,49.74,4849364.0
2020-10-15T00:00:00-04:00,49.65,48.66,49.89,48.45,4831334.0
