date,close,open,high,low,volume
2020-08-17T00:00:00-04:00,21.35,22.52,22.82,21.34,0.0
2020-08-18T00:00:00-04:00,21.51,21.69,22.55,21.18,0.0
2020-08-19T00:00:00-04:00,22.54,21.6,22.98,20.99,0.0
2020-08-20T00:00:00-04:00,22.72,24.1,24.6,22.37,0.0
2020-08-21T00:00:00-04:00,22.54,22.58,24.47,22.06,0.0
2020-08-24T00:00:00-04:00,22.37,22.87,23.18,21.25,0.0
2020-08-25T00:00:00-04:00,22.03,22.16,23.43,21.53,0.0
2020-08-26T00:00:00-04:00,23.27,22.14,23.27,20.92,0.0
2020-08-27T00:00:00-04:00,24.47,23.42,27.09,21.44,0.0
2020-08-28T00:00:00-04:00,22.96,24.59,26.3,22.64,0.0
2020-08-31T00:00:00-04:00,26.41,23.91,26.5,21.77,0.0
2020-09-01T00:00:00-04:00,26.12,25.86,26.59,25.02,0.0
2020-09-02T00:00:00-04:00,26.57,26.01,27.07,25.53,0.0
2020-09-03T00:00:00-04:00,33.6,26.28,35.94,25.66,0.0
2020-09-04T00:00:00-04:00,30.75,34.62,38.28,29.5,0.0
2020-09-08T00:00:00-04:00,31.46,30.61,35.93,30.52,0.0
2020-09-09T00:00:00-04:00,28.81,31.68,31.78,28.12,0.0
2020-09-10T00:00:00-04:00,29.71,28.67,30.56,27.59,0.0
2020-09-11T00:00:00-04:00,26.87,28.63,29.73,26.51,0.0
2020-09-14T00:00:00-04:00,25.85,25.86,26.79,25.38,0.0
2020-09-15T00:00:00-04:00,25.59,25.92,26.0,24.92,0.0
2020-09-16T00:00:00-04:00,26.04,25.31,26.59,24.84,0.0
2020-09-17T00:00:00-04:00,26.46,28.22,28.92,26.26,0.0
2020-09-18T00:00:00-04:00,25.83,26.65,28.1,25.28,0.0
2020-09-21T00:00:00-04:00,27.78,28.04,31.18,27.39,0.0
2020-09-22T00:00:00-04:00,26.86,28.61,28.78,26.48,0.0
2020-09-23T00:00:00-04:00,28.58,27.02,29.73,25.19,0.0
2020-09-24T00:00:00-04:00,28.51,29.54,30.49,27.94,0.0
2020-09-25T00:00:00-04:00,26.38,28.17,30.43,26.02,0.0
2020-09-28T00:00:00-04:00,26.19,27.15,27.19,24.9,0.0
2020-09-29T00:00:00-04:00,26.27,26.81,27.43,25.98,0.0
2020-09-30T00:00:00-04:00,26.37,26.69,27.12,25.06,0.0
2020-10-01T00:00:00-04:00,26.7,25.78,27.11,25.33,0.0
2020-10-02T00:00:00-04:00,27.63,28.87,29.9,26.93,0.0
2020-10-05T00:00:00-04:00,27.96,29.52,29.69,27.27,0.0
2020-10-06T00:00:00-04:00,29.48,28.05,30.0,26.01,0.0
2020-10-07T00:00:00-04:00,28.06,29.26,29.76,27.94,0.0
2020-10-08T00:00:00-04:00,26.36,27.65,27.99,24.88,0.0
2020-10-09T00:00:00-04:00,25.0,26.2,26.22,24.03,0.0
2020-10-12T00:00:00-04:00,25.07,25.65,25.65,24.14,0.0
2020-10-13T00:00:00-04:00,26.07,25.67,26.93,25.16,0.0
2020-10-14T00:00:00-04:00,26.4,25.72,27.23,25.53,0.0
2020-10-15T00:00:00-04:00,26.97,27.1,29.06,26.82,0.0
2020-10-16T00:00:00-04:00,27.41,27.16,27.46,26.19,0.0
2020-10-19T00:00:00-04:00,29.18,27.36,29.69,27.04,0.0
2020-10-20T00:00:00-04:00,29.35,28.81,29.6,28.29,0.0
2020-10-21T00:00:00-04:00,28.65,29.12,30.55,28.37,0.0
2020-10-22T00:00:00-04:00,28.11,30.1,30.12,27.68,0.0
2020-10-23T00:00:00-04:00,27.55,28.47,28.67,27.26,0.0
2020-10-26T00:00:00-04:00,32.46,29.38,33.68,29.22,0.0
2020-10-27T00:00:00-04:00,33.35,32.04,33.77,31.85,0.0
2020-10-28T00:00:00-04:00,40.28,34.69,40.77,34.68,0.0
2020-10-29T00:00:00-04:00,37.59,38.8,41.16,35.63,0.0
2020-10-30T00:00:00-04:00,38.02,40.81,41.09,36.5,0.0
2020-11-02T00:00:00-05:00,37.13,38.57,38.78,36.13,0.0
2020-11-03T00:00:00-05:00,35.55,36.44,36.44,34.19,0.0
2020-11-04T00:00:00-05:00,29.57,36.79,36.85,28.03,0.0
2020-11-05T00:00:00-05:00,27.58,27.56,28.14,26.04,0.0
2020-11-06T00:00:00-05:00,24.86,27.87,29.44,24.56,0.0
2020-11-09T00:00:00-05:00,25.75,24.8,25.82,22.41,0.0
2020-11-10T00:00:00-05:00,24.8,25.36,26.77,24.35,0.0
2020-11-11T00:00:00-05:00,23.45,25.01,25.12,22.57,0.0
2020-11-12T00:00:00-05:00,25.35,24.39,27.27,23.53,0.0
2020-11-13T00:00:00-05:00,23.1,24.94,25.03,22.74,0.0
2020-11-16T00:00:00-05:00,22.45,23.66,24.08,22.43,0.0
2020-11-17T00:00:00-05:00,22.71,22.84,24.09,22.34,0.0
2020-11-18T00:00:00-05:00,23.84,22.86,23.92,21.66,0.0
2020-11-19T00:00:00-05:00,23.11,23.62,24.52,22.56,0.0
2020-11-20T00:00:00-05:00,23.7,23.43,23.73,22.13,0.0
